trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00031,01-01-2023,12:45:00,Bus,Route_7,Station_13,Station_20,12:47:00,13:05:00,13,18,Fog,22.7,98,28,9.9,Sports,0,72,0,1,6,Winter,1
T00032,01-01-2023,13:00:00,Metro,Route_3,Station_19,Station_22,13:00:00,13:32:00,1,9,Rain,31.5,38,20,3.1,Concert,0,26,0,0,6,Autumn,1
T00033,01-01-2023,13:15:00,Train,Route_18,Station_49,Station_48,13:16:00,13:35:00,3,-3,Rain,15.1,39,55,3.4,Sports,2000,7,0,1,6,Winter,0
T00034,01-01-2023,13:30:00,Train,Route_10,Station_6,Station_11,13:30:00,13:54:00,5,12,Clear,9.5,97,6,0.1,Festival,0,69,0,0,6,Summer,1
T00035,01-01-2023,13:45:00,Bus,Route_7,Station_48,Station_13,13:48:00,14:20:00,13,18,Rain,1.8,87,11,6.4,None,0,99,0,0,6,Winter,1
T00036,01-01-2023,14:00:00,Metro,Route_17,Station_12,Station_42,14:04:00,14:34:00,2,28,Clear,29.7,81,35,1.8,None,0,49,0,1,6,Winter,1
T00037,01-01-2023,14:15:00,Bus,Route_14,Station_37,Station_3,14:15:00,15:02:00,18,12,Cloudy,10.8,63,23,7.9,Concert,50000,87,0,0,6,Winter,1
T00038,01-01-2023,14:30:00,Bus,Route_3,Station_17,Station_9,14:34:00,15:20:00,19,11,Storm,32,64,31,12,Protest,10000,66,0,0,6,Winter,1
T00039,01-01-2023,14:45:00,Tram,Route_12,Station_23,Station_12,14:46:00,15:27:00,7,8,Rain,28.9,62,26,7.4,None,2000,25,0,1,6,Winter,1
T00040,01-01-2023,15:00:00,Tram,Route_13,Station_26,Station_23,15:03:00,15:36:00,10,-3,Storm,10.1,61,31,14.1,Protest,0,35,0,0,6,Winter,0
T00041,01-01-2023,15:15:00,Tram,Route_2,Station_29,Station_14,15:16:00,16:08:00,11,13,Clear,18,84,58,14.8,None,0,20,0,0,6,Autumn,1
T00042,01-01-2023,15:30:00,Train,Route_3,Station_33,Station_33,15:33:00,16:02:00,4,24,Rain,-3.9,37,31,13.9,None,10000,76,0,1,6,Summer,1
T00043,01-01-2023,15:45:00,Metro,Route_5,Station_27,Station_18,15:48:00,16:18:00,17,3,Fog,5.5,75,31,18.7,None,0,51,0,1,6,Autumn,0
T00044,01-01-2023,16:00:00,Metro,Route_11,Station_25,Station_49,16:04:00,16:30:00,3,5,Cloudy,23.4,43,25,4.7,Parade,500,10,0,1,6,Summer,0
T00045,01-01-2023,16:15:00,Metro,Route_8,Station_10,Station_41,16:16:00,17:02:00,4,18,Snow,22.1,37,10,3.8,None,0,7,0,0,6,Autumn,1
T00046,01-01-2023,16:30:00,Metro,Route_12,Station_47,Station_9,16:31:00,17:21:00,2,22,Cloudy,9.1,83,45,12.2,None,0,56,0,0,6,Autumn,1
T00047,01-01-2023,16:45:00,Tram,Route_7,Station_23,Station_23,16:45:00,17:39:00,18,8,Rain,27.3,50,17,11.9,Parade,0,45,0,1,6,Winter,1
T00048,01-01-2023,17:00:00,Train,Route_15,Station_21,Station_10,17:01:00,17:50:00,15,3,Cloudy,4.4,43,38,10.2,Sports,10000,77,0,0,6,Autumn,0
T00049,01-01-2023,17:15:00,Train,Route_17,Station_21,Station_19,17:15:00,17:51:00,9,11,Snow,13.5,31,4,0.1,Protest,0,96,0,1,6,Summer,1
T00050,01-01-2023,17:30:00,Tram,Route_4,Station_43,Station_47,17:32:00,17:58:00,3,17,Fog,13.9,90,15,11.1,None,2000,1,0,0,6,Spring,1
T00051,01-01-2023,17:45:00,Train,Route_13,Station_13,Station_5,17:47:00,18:14:00,-2,10,Storm,8.6,46,10,18.7,None,10000,63,0,0,6,Summer,1
T00052,01-01-2023,18:00:00,Tram,Route_18,Station_37,Station_47,18:02:00,18:27:00,1,-2,Fog,33.2,77,53,6.7,None,50000,51,0,0,6,Autumn,0
T00053,01-01-2023,18:15:00,Metro,Route_1,Station_33,Station_23,18:16:00,18:55:00,16,4,Cloudy,22.9,37,34,19.4,Sports,0,64,0,1,6,Spring,0
T00054,01-01-2023,18:30:00,Tram,Route_16,Station_24,Station_30,18:31:00,19:02:00,9,2,Snow,16.6,85,47,7.1,Concert,0,10,0,0,6,Winter,0
T00055,01-01-2023,18:45:00,Metro,Route_13,Station_44,Station_25,18:45:00,19:09:00,12,29,Storm,15.4,46,10,2.8,Concert,50000,5,0,1,6,Spring,1
T00056,01-01-2023,19:00:00,Metro,Route_10,Station_11,Station_28,19:03:00,19:25:00,0,2,Snow,1.4,98,41,8,Sports,0,95,0,1,6,Winter,0
T00057,01-01-2023,19:15:00,Bus,Route_12,Station_17,Station_34,19:15:00,20:04:00,17,22,Fog,9.9,41,22,9.9,None,0,78,0,1,6,Summer,1
T00058,01-01-2023,19:30:00,Tram,Route_2,Station_4,Station_45,19:32:00,20:20:00,5,10,Clear,21.9,67,54,12.6,Concert,0,75,0,1,6,Spring,1
T00059,01-01-2023,19:45:00,Bus,Route_3,Station_47,Station_48,19:45:00,20:21:00,8,4,Clear,32,47,33,10.1,None,0,63,0,1,6,Spring,0
T00060,01-01-2023,20:00:00,Tram,Route_10,Station_25,Station_47,20:03:00,20:30:00,13,9,Storm,27.7,55,47,10.7,None,0,92,0,1,6,Spring,1
T00061,01-01-2023,20:15:00,Tram,Route_2,Station_30,Station_25,20:16:00,20:54:00,6,9,Storm,7,66,16,0.5,None,500,54,0,0,6,Winter,1
T00062,01-01-2023,20:30:00,Bus,Route_13,Station_9,Station_10,20:30:00,20:58:00,0,24,Storm,12.4,99,9,5.1,Sports,500,43,0,0,6,Winter,1
T00063,01-01-2023,20:45:00,Bus,Route_13,Station_21,Station_14,20:47:00,21:06:00,2,14,Clear,-1.7,70,17,6.2,Festival,0,85,0,0,6,Summer,1
T00064,01-01-2023,21:00:00,Tram,Route_18,Station_20,Station_42,21:02:00,21:56:00,17,15,Fog,-0.9,71,43,19.7,None,10000,13,1,0,6,Summer,1
T00065,01-01-2023,21:15:00,Train,Route_3,Station_19,Station_46,21:16:00,21:35:00,11,28,Storm,13.8,70,7,5.9,None,0,82,0,0,6,Autumn,1
T00066,01-01-2023,21:30:00,Metro,Route_7,Station_19,Station_30,21:30:00,21:53:00,12,18,Clear,16.2,76,58,17.9,None,0,4,0,0,6,Winter,1
T00067,01-01-2023,21:45:00,Bus,Route_14,Station_12,Station_41,21:48:00,22:40:00,3,-2,Storm,5.6,43,25,6.1,Festival,50000,98,0,1,6,Summer,0
T00068,01-01-2023,22:00:00,Metro,Route_20,Station_37,Station_25,22:01:00,22:44:00,1,9,Storm,20.7,30,2,1.9,Concert,0,24,0,0,6,Spring,1
T00069,01-01-2023,22:15:00,Train,Route_17,Station_42,Station_14,22:15:00,22:37:00,5,19,Snow,23.1,46,58,5,Parade,2000,49,0,0,6,Spring,1
T00070,01-01-2023,22:30:00,Train,Route_12,Station_17,Station_35,22:34:00,22:58:00,16,21,Storm,7,84,51,5.5,Festival,0,72,0,1,6,Spring,1
T00071,01-01-2023,22:45:00,Train,Route_16,Station_37,Station_48,22:47:00,23:26:00,2,24,Clear,25.3,82,23,19.6,None,2000,70,0,0,6,Summer,1
T00072,01-01-2023,23:00:00,Bus,Route_12,Station_48,Station_34,23:03:00,23:42:00,10,7,Fog,3.2,60,2,13.5,None,0,81,0,0,6,Spring,1
T00073,01-01-2023,23:15:00,Train,Route_15,Station_39,Station_10,23:18:00,23:46:00,13,29,Clear,16.8,91,37,18.6,None,0,1,0,1,6,Spring,1
T00074,01-01-2023,23:30:00,Bus,Route_10,Station_28,Station_35,23:33:00,23:59:00,-2,20,Clear,27.2,37,1,16.7,None,0,9,0,0,6,Winter,1
T00075,01-01-2023,23:45:00,Train,Route_7,Station_41,Station_11,23:47:00,00:38:00,10,-2,Storm,16.5,59,34,11.6,None,0,1,0,0,6,Winter,0
T00076,02-01-2023,00:00:00,Metro,Route_20,Station_35,Station_11,00:00:00,00:29:00,19,26,Snow,31.3,95,16,13.5,None,0,59,0,0,0,Summer,1
T00077,02-01-2023,00:15:00,Metro,Route_5,Station_47,Station_21,00:16:00,01:04:00,8,13,Rain,-2.7,74,8,12.5,Concert,10000,44,0,0,0,Winter,1
T00078,02-01-2023,00:30:00,Tram,Route_1,Station_48,Station_21,00:30:00,01:11:00,18,18,Rain,18.5,47,35,13.3,None,0,7,0,1,0,Autumn,1
T00079,02-01-2023,00:45:00,Metro,Route_17,Station_18,Station_22,00:46:00,01:10:00,5,1,Rain,17.5,74,21,5.3,None,10000,57,0,0,0,Summer,0
T00080,02-01-2023,01:00:00,Tram,Route_3,Station_14,Station_45,01:03:00,01:21:00,5,12,Clear,21.4,48,30,8.2,None,0,6,0,1,0,Autumn,1
T00081,02-01-2023,01:15:00,Metro,Route_13,Station_35,Station_7,01:15:00,02:04:00,11,9,Storm,28.3,97,54,11.9,None,0,98,0,0,0,Autumn,1
T00082,02-01-2023,01:30:00,Bus,Route_14,Station_44,Station_17,01:33:00,01:51:00,10,22,Rain,24,79,33,0.7,Sports,50000,86,0,0,0,Summer,1
T00083,02-01-2023,01:45:00,Metro,Route_18,Station_41,Station_2,01:49:00,02:36:00,0,27,Cloudy,26.6,54,23,9.7,Sports,50000,71,0,1,0,Winter,1
T00084,02-01-2023,02:00:00,Tram,Route_4,Station_7,Station_12,02:03:00,02:35:00,1,19,Cloudy,6.6,67,59,17.2,None,0,20,1,1,0,Winter,1
T00085,02-01-2023,02:15:00,Tram,Route_18,Station_41,Station_42,02:18:00,02:46:00,17,8,Cloudy,10.5,65,8,9.8,Concert,10000,96,0,0,0,Summer,1
T00086,02-01-2023,02:30:00,Train,Route_5,Station_13,Station_18,02:31:00,02:50:00,12,10,Fog,20.1,97,45,11,None,0,46,0,0,0,Autumn,1
T00087,02-01-2023,02:45:00,Bus,Route_16,Station_18,Station_11,02:49:00,03:12:00,12,14,Storm,17.1,85,57,4,None,0,0,0,1,0,Summer,1
T00088,02-01-2023,03:00:00,Metro,Route_1,Station_37,Station_16,03:03:00,03:32:00,18,23,Clear,33.4,68,42,15.9,None,0,11,0,0,0,Summer,1
T00089,02-01-2023,03:15:00,Train,Route_14,Station_13,Station_49,03:18:00,03:49:00,10,24,Clear,2.5,92,1,7.2,Parade,50000,74,0,0,0,Spring,1
T00090,02-01-2023,03:30:00,Metro,Route_15,Station_36,Station_18,03:34:00,03:57:00,6,14,Storm,9.1,36,20,19.1,None,50000,47,1,1,0,Spring,1
T00091,02-01-2023,03:45:00,Metro,Route_9,Station_31,Station_35,03:49:00,04:14:00,7,12,Snow,17.9,87,33,19.9,None,0,93,0,0,0,Autumn,1
T00092,02-01-2023,04:00:00,Train,Route_15,Station_2,Station_26,04:00:00,04:24:00,9,12,Snow,29.7,88,26,18.3,Protest,2000,3,0,0,0,Winter,1
T00093,02-01-2023,04:15:00,Train,Route_17,Station_16,Station_16,04:16:00,04:53:00,11,9,Fog,32.2,77,36,1.7,None,10000,33,0,0,0,Spring,1
T00094,02-01-2023,04:30:00,Train,Route_4,Station_9,Station_6,04:34:00,05:27:00,-2,25,Storm,8.4,34,6,6.7,None,0,86,0,1,0,Spring,1
T00095,02-01-2023,04:45:00,Train,Route_12,Station_9,Station_44,04:49:00,05:15:00,11,5,Snow,-2.3,65,21,18.9,Festival,500,31,0,0,0,Autumn,0
T00096,02-01-2023,05:00:00,Train,Route_5,Station_38,Station_43,05:02:00,05:39:00,11,22,Fog,11.9,54,3,16.1,None,0,2,0,1,0,Summer,1
T00097,02-01-2023,05:15:00,Metro,Route_5,Station_11,Station_47,05:19:00,05:54:00,5,24,Rain,10.8,74,13,18.2,Concert,0,91,0,0,0,Spring,1
T00098,02-01-2023,05:30:00,Train,Route_11,Station_22,Station_47,05:31:00,06:10:00,13,9,Rain,34.5,48,33,11.5,Sports,2000,67,0,0,0,Winter,1
T00099,02-01-2023,05:45:00,Bus,Route_6,Station_33,Station_48,05:48:00,06:22:00,11,5,Fog,12.2,36,22,9.6,Sports,0,56,0,0,0,Autumn,0
T00100,02-01-2023,06:00:00,Tram,Route_7,Station_36,Station_42,06:03:00,06:29:00,-2,10,Storm,7.2,87,43,2.1,Parade,0,75,0,0,0,Spring,1
T00101,02-01-2023,06:15:00,Train,Route_14,Station_45,Station_12,06:18:00,07:08:00,13,8,Rain,9.6,95,41,16.8,Protest,0,23,0,0,0,Autumn,1
T00102,02-01-2023,06:30:00,Train,Route_11,Station_23,Station_13,06:33:00,07:15:00,15,28,Storm,10.9,68,24,14.9,Concert,2000,32,0,0,0,Spring,1
T00103,02-01-2023,06:45:00,Metro,Route_13,Station_45,Station_4,06:47:00,07:34:00,4,-1,Snow,27.9,47,0,1.2,Festival,0,2,0,1,0,Spring,0
T00104,02-01-2023,07:00:00,Train,Route_2,Station_45,Station_39,07:04:00,07:28:00,12,12,Rain,-1.8,30,50,4.2,Festival,0,3,0,1,0,Autumn,1
T00105,02-01-2023,07:15:00,Train,Route_7,Station_34,Station_2,07:18:00,08:05:00,14,16,Snow,7.7,92,54,11.1,Parade,500,29,0,0,0,Winter,1
T00106,02-01-2023,07:30:00,Train,Route_20,Station_9,Station_26,07:30:00,07:53:00,16,28,Storm,33.7,32,47,13.7,Sports,0,69,0,1,0,Winter,1
T00107,02-01-2023,07:45:00,Metro,Route_4,Station_24,Station_27,07:48:00,08:10:00,10,19,Storm,1.1,50,14,2.8,None,10000,48,0,0,0,Summer,1
T00108,02-01-2023,08:00:00,Train,Route_8,Station_8,Station_27,08:04:00,08:33:00,6,13,Cloudy,24.7,59,31,4.9,Sports,0,29,0,0,0,Spring,1
T00109,02-01-2023,08:15:00,Tram,Route_20,Station_7,Station_15,08:18:00,08:38:00,12,12,Fog,9.3,40,13,3.9,None,0,71,0,0,0,Summer,1
T00110,02-01-2023,08:30:00,Metro,Route_19,Station_36,Station_8,08:32:00,09:15:00,0,4,Clear,18.3,51,40,4.4,None,0,81,0,0,0,Autumn,0
T00111,02-01-2023,08:45:00,Tram,Route_13,Station_18,Station_7,08:46:00,09:43:00,-2,15,Fog,-1,86,20,18.4,None,0,15,0,0,0,Summer,1
T00112,02-01-2023,09:00:00,Metro,Route_14,Station_3,Station_47,09:01:00,09:36:00,13,26,Storm,7.3,32,54,14.3,Festival,50000,52,0,0,0,Autumn,1
T00113,02-01-2023,09:15:00,Train,Route_10,Station_28,Station_46,09:19:00,09:53:00,5,10,Storm,15,59,46,14.7,None,0,5,0,0,0,Winter,1
T00114,02-01-2023,09:30:00,Tram,Route_11,Station_6,Station_40,09:31:00,09:55:00,10,18,Fog,4.3,74,57,15.9,Sports,2000,23,0,0,0,Autumn,1
T00115,02-01-2023,09:45:00,Metro,Route_2,Station_44,Station_12,09:46:00,10:33:00,5,13,Storm,16.7,65,6,7.1,None,0,91,0,1,0,Autumn,1
T00116,02-01-2023,10:00:00,Bus,Route_9,Station_44,Station_13,10:00:00,10:30:00,14,11,Snow,3.8,93,35,15.3,None,500,95,0,1,0,Summer,1
T00117,02-01-2023,10:15:00,Train,Route_17,Station_21,Station_43,10:19:00,10:50:00,19,28,Rain,21,83,20,19.6,None,50000,88,1,0,0,Spring,1
T00118,02-01-2023,10:30:00,Metro,Route_3,Station_28,Station_17,10:34:00,11:19:00,11,9,Storm,31.2,97,49,14,Concert,0,27,0,1,0,Summer,1
T00119,02-01-2023,10:45:00,Bus,Route_6,Station_40,Station_17,10:46:00,11:29:00,18,17,Fog,-1.6,79,39,8.3,Festival,0,20,0,0,0,Winter,1
T00120,02-01-2023,11:00:00,Metro,Route_5,Station_1,Station_36,11:01:00,11:59:00,18,29,Fog,3.7,60,11,14.3,None,50000,7,0,1,0,Winter,1
T00121,02-01-2023,11:15:00,Bus,Route_5,Station_36,Station_21,11:16:00,11:45:00,4,23,Fog,28.8,58,14,18,None,2000,35,0,0,0,Winter,1
T00122,02-01-2023,11:30:00,Train,Route_15,Station_21,Station_8,11:32:00,11:56:00,12,12,Cloudy,20.3,88,14,2.6,Concert,0,8,0,0,0,Spring,1
T00123,02-01-2023,11:45:00,Tram,Route_17,Station_43,Station_5,11:48:00,12:30:00,13,24,Snow,-1.9,65,16,5.3,None,0,39,0,0,0,Summer,1
T00124,02-01-2023,12:00:00,Bus,Route_9,Station_35,Station_26,12:02:00,12:41:00,16,-3,Snow,14.5,96,33,18.4,None,0,84,0,0,0,Autumn,0
T00125,02-01-2023,12:15:00,Metro,Route_3,Station_13,Station_16,12:19:00,12:59:00,3,27,Cloudy,3.4,40,43,18.9,None,10000,50,0,0,0,Autumn,1
T00126,02-01-2023,12:30:00,Train,Route_20,Station_49,Station_36,12:30:00,13:08:00,-2,29,Snow,3,40,34,9.7,Concert,500,0,1,0,0,Spring,1
T00127,02-01-2023,12:45:00,Bus,Route_17,Station_10,Station_28,12:48:00,13:35:00,9,29,Cloudy,32.6,55,38,7.5,None,50000,62,0,0,0,Winter,1
T00128,02-01-2023,13:00:00,Metro,Route_10,Station_44,Station_29,13:00:00,13:45:00,15,14,Snow,25.5,82,37,5.7,None,0,67,0,0,0,Spring,1
T00129,02-01-2023,13:15:00,Metro,Route_3,Station_47,Station_47,13:19:00,14:10:00,13,19,Cloudy,22.8,43,13,10,Parade,0,73,0,1,0,Autumn,1
T00130,02-01-2023,13:30:00,Metro,Route_18,Station_10,Station_12,13:34:00,14:12:00,9,19,Cloudy,4.6,93,54,18.7,Sports,0,25,0,0,0,Winter,1
T00131,02-01-2023,13:45:00,Bus,Route_18,Station_46,Station_37,13:45:00,14:17:00,17,11,Snow,-0.3,39,58,3,None,0,39,0,1,0,Spring,1
T00132,02-01-2023,14:00:00,Bus,Route_17,Station_13,Station_30,14:00:00,14:44:00,10,22,Cloudy,29.8,60,4,8.4,None,0,2,0,0,0,Autumn,1
T00133,02-01-2023,14:15:00,Bus,Route_3,Station_37,Station_23,14:15:00,14:36:00,5,26,Snow,-4.8,65,29,18.2,None,0,8,0,0,0,Autumn,1
T00134,02-01-2023,14:30:00,Tram,Route_3,Station_38,Station_16,14:34:00,14:51:00,19,21,Cloudy,10.5,39,3,7,None,10000,31,0,0,0,Spring,1
T00135,02-01-2023,14:45:00,Bus,Route_6,Station_24,Station_14,14:46:00,15:20:00,-2,12,Fog,6.1,55,14,15.4,None,0,66,0,1,0,Autumn,1
T00136,02-01-2023,15:00:00,Bus,Route_13,Station_2,Station_10,15:00:00,15:28:00,18,10,Clear,17.8,49,38,7.8,None,0,3,0,0,0,Summer,1
T00137,02-01-2023,15:15:00,Bus,Route_15,Station_22,Station_7,15:18:00,16:02:00,4,13,Snow,5,73,34,16.1,None,50000,5,0,0,0,Summer,1
T00138,02-01-2023,15:30:00,Tram,Route_9,Station_17,Station_45,15:34:00,16:02:00,12,8,Cloudy,7.4,91,44,19.6,Festival,50000,72,0,0,0,Winter,1
T00139,02-01-2023,15:45:00,Bus,Route_4,Station_36,Station_37,15:47:00,16:39:00,19,25,Fog,29,38,9,7.8,Festival,0,25,0,0,0,Summer,1
T00140,02-01-2023,16:00:00,Metro,Route_14,Station_14,Station_29,16:02:00,16:32:00,10,28,Clear,19.1,53,54,16.9,None,50000,1,0,0,0,Summer,1
T00141,02-01-2023,16:15:00,Bus,Route_5,Station_10,Station_3,16:18:00,17:05:00,10,20,Cloudy,0.8,41,1,19.8,Concert,0,65,0,0,0,Spring,1
T00142,02-01-2023,16:30:00,Metro,Route_2,Station_35,Station_15,16:31:00,17:10:00,6,9,Clear,24.1,89,43,19.7,None,0,84,0,1,0,Winter,1
T00143,02-01-2023,16:45:00,Metro,Route_11,Station_25,Station_36,16:45:00,17:36:00,12,16,Snow,3.3,45,59,8.7,Concert,10000,85,0,1,0,Spring,1
T00144,02-01-2023,17:00:00,Metro,Route_9,Station_3,Station_47,17:04:00,17:53:00,1,11,Clear,12.3,58,23,9.7,None,2000,2,1,1,0,Spring,1
T00145,02-01-2023,17:15:00,Tram,Route_3,Station_47,Station_46,17:15:00,17:42:00,10,0,Rain,20.9,61,27,6.1,Festival,10000,34,0,0,0,Summer,0
T00146,02-01-2023,17:30:00,Tram,Route_9,Station_38,Station_19,17:34:00,17:51:00,9,24,Storm,5.9,64,21,6.3,Festival,10000,58,0,0,0,Summer,1
T00147,02-01-2023,17:45:00,Tram,Route_3,Station_17,Station_13,17:47:00,18:42:00,2,-2,Rain,10.4,72,43,9.8,None,0,37,0,0,0,Autumn,0
T00148,02-01-2023,18:00:00,Bus,Route_2,Station_12,Station_42,18:00:00,18:51:00,4,26,Snow,24.4,82,31,4,Sports,0,32,0,1,0,Autumn,1
T00149,02-01-2023,18:15:00,Metro,Route_12,Station_24,Station_21,18:18:00,19:14:00,5,22,Snow,32.5,49,30,14.2,Concert,0,14,1,0,0,Winter,1
T00150,02-01-2023,18:30:00,Tram,Route_10,Station_29,Station_37,18:31:00,19:17:00,2,22,Clear,16.2,37,18,10.7,None,0,74,0,0,0,Summer,1
T00151,02-01-2023,18:45:00,Tram,Route_9,Station_43,Station_27,18:48:00,19:41:00,6,16,Fog,-4.6,71,50,18,Concert,0,73,0,1,0,Autumn,1
T00152,02-01-2023,19:00:00,Bus,Route_15,Station_25,Station_29,19:01:00,19:20:00,11,24,Cloudy,8.5,99,20,16.2,Concert,0,99,0,0,0,Spring,1
T00153,02-01-2023,19:15:00,Tram,Route_8,Station_36,Station_20,19:15:00,19:44:00,9,16,Storm,10.9,45,2,6.4,Festival,10000,13,0,0,0,Summer,1
T00154,02-01-2023,19:30:00,Bus,Route_5,Station_26,Station_25,19:30:00,19:53:00,1,7,Cloudy,8.6,98,5,10.1,Sports,10000,65,0,0,0,Winter,1
T00155,02-01-2023,19:45:00,Train,Route_11,Station_38,Station_6,19:46:00,20:39:00,17,6,Fog,12.5,82,31,15,None,500,44,0,0,0,Winter,1
